arrival,cost,Method,Service,Expiration
0.1,19.889943666666667,LSTM-PPO,,
0.1,19.889943666666667,LSTM-PPO-COST,Exponential,Exponential
0.1,20.138868,LSTM-PPO,,
0.1,20.138868,LSTM-PPO-COST,Exponential,Exponential
0.1,20.060030666666663,LSTM-PPO,,
0.1,20.060030666666663,LSTM-PPO-COST,Exponential,Exponential
0.1,20.358306666666667,LSTM-PPO,,
0.1,20.358306666666667,LSTM-PPO-COST,Exponential,Exponential
0.1,20.227991195407142,LSTM-PPO,,
0.1,20.227991195407142,LSTM-PPO-COST,Exponential,Exponential
0.2,33.60367069682353,LSTM-PPO,,
0.2,33.60367069682353,LSTM-PPO-COST,Exponential,Exponential
0.2,34.152801327474656,LSTM-PPO,,
0.2,34.152801327474656,LSTM-PPO-COST,Exponential,Exponential
0.2,34.63314972854494,LSTM-PPO,,
0.2,34.63314972854494,LSTM-PPO-COST,Exponential,Exponential
0.2,34.94898383809407,LSTM-PPO,,
0.2,34.94898383809407,LSTM-PPO-COST,Exponential,Exponential
0.2,35.873617861872034,LSTM-PPO,,
0.2,35.873617861872034,LSTM-PPO-COST,Exponential,Exponential
0.3,51.96103266666667,LSTM-PPO,,
0.3,51.96103266666667,LSTM-PPO-COST,Exponential,Exponential
0.3,52.712612,LSTM-PPO,,
0.3,52.712612,LSTM-PPO-COST,Exponential,Exponential
0.3,50.09901,LSTM-PPO,,
0.3,50.09901,LSTM-PPO-COST,Exponential,Exponential
0.3,53.641123666666665,LSTM-PPO,,
0.3,53.641123666666665,LSTM-PPO-COST,Exponential,Exponential
0.3,53.378377666666665,LSTM-PPO,,
0.3,53.378377666666665,LSTM-PPO-COST,Exponential,Exponential
0.3,53.657175,LSTM-PPO,,
0.3,53.657175,LSTM-PPO-COST,Exponential,Exponential
0.3,55.38906266666667,LSTM-PPO,,
0.3,55.38906266666667,LSTM-PPO-COST,Exponential,Exponential
0.3,55.759585,LSTM-PPO,,
0.3,55.759585,LSTM-PPO-COST,Exponential,Exponential
0.3,54.57294366666667,LSTM-PPO,,
0.3,54.57294366666667,LSTM-PPO-COST,Exponential,Exponential
0.3,51.53680633333333,LSTM-PPO,,
0.3,51.53680633333333,LSTM-PPO-COST,Exponential,Exponential
0.7,80.528591,LSTM-PPO,,
0.7,80.528591,LSTM-PPO-COST,Exponential,Exponential
0.7,79.423009,LSTM-PPO,,
0.7,79.423009,LSTM-PPO-COST,Exponential,Exponential
0.7,79.02034233333333,LSTM-PPO,,
0.7,79.02034233333333,LSTM-PPO-COST,Exponential,Exponential
0.7,77.96639066666667,LSTM-PPO,,
0.7,77.96639066666667,LSTM-PPO-COST,Exponential,Exponential
0.7,80.16416833333334,LSTM-PPO,,
0.7,80.16416833333334,LSTM-PPO-COST,Exponential,Exponential
0.7,81.33995366666667,LSTM-PPO,,
0.7,81.33995366666667,LSTM-PPO-COST,Exponential,Exponential
0.7,81.743624,LSTM-PPO,,
0.7,81.743624,LSTM-PPO-COST,Exponential,Exponential
0.7,79.70568266666666,LSTM-PPO,,
0.7,79.70568266666666,LSTM-PPO-COST,Exponential,Exponential
0.7,81.116169,LSTM-PPO,,
0.7,81.116169,LSTM-PPO-COST,Exponential,Exponential
0.7,79.04638197618854,LSTM-PPO,,
0.7,79.04638197618854,LSTM-PPO-COST,Exponential,Exponential
0.1,38.39707766259908,LSTM-PPO,,
0.1,38.39707766259908,LSTM-PPO-COST,Pareto,Exponential
0.1,39.2099654118114,LSTM-PPO,,
0.1,39.2099654118114,LSTM-PPO-COST,Pareto,Exponential
0.1,39.59967852485367,LSTM-PPO,,
0.1,39.59967852485367,LSTM-PPO-COST,Pareto,Exponential
0.1,39.93572536305,LSTM-PPO,,
0.1,39.93572536305,LSTM-PPO-COST,Pareto,Exponential
0.1,39.28561632204233,LSTM-PPO,,
0.1,39.28561632204233,LSTM-PPO-COST,Pareto,Exponential
0.1,38.58809824168304,LSTM-PPO,,
0.1,38.58809824168304,LSTM-PPO-COST,Pareto,Exponential
0.2,37.37933000760048,LSTM-PPO,,
0.2,37.37933000760048,LSTM-PPO-COST,Pareto,Exponential
0.2,37.19079769507184,LSTM-PPO,,
0.2,37.19079769507184,LSTM-PPO-COST,Pareto,Exponential
0.2,34.61651938931232,LSTM-PPO,,
0.2,34.61651938931232,LSTM-PPO-COST,Pareto,Exponential
0.2,37.59203377952127,LSTM-PPO,,
0.2,37.59203377952127,LSTM-PPO-COST,Pareto,Exponential
0.2,37.96474546578157,LSTM-PPO,,
0.2,37.96474546578157,LSTM-PPO-COST,Pareto,Exponential
0.2,38.92708416917844,LSTM-PPO,,
0.2,38.92708416917844,LSTM-PPO-COST,Pareto,Exponential
0.2,39.27569027519581,LSTM-PPO,,
0.2,39.27569027519581,LSTM-PPO-COST,Pareto,Exponential
0.3,49.5864661684469,LSTM-PPO,,
0.3,49.5864661684469,LSTM-PPO-COST,Pareto,Exponential
0.3,51.546716609800725,LSTM-PPO,,
0.3,51.546716609800725,LSTM-PPO-COST,Pareto,Exponential
0.3,46.51161173081756,LSTM-PPO,,
0.3,46.51161173081756,LSTM-PPO-COST,Pareto,Exponential
0.3,48.43398218182402,LSTM-PPO,,
0.3,48.43398218182402,LSTM-PPO-COST,Pareto,Exponential
0.3,50.01168581073796,LSTM-PPO,,
0.3,50.01168581073796,LSTM-PPO-COST,Pareto,Exponential
0.3,48.94124433119642,LSTM-PPO,,
0.3,48.94124433119642,LSTM-PPO-COST,Pareto,Exponential
0.7,74.94788633333333,LSTM-PPO,,
0.7,74.94788633333333,LSTM-PPO-COST,Pareto,Exponential
0.7,73.79914566666666,LSTM-PPO,,
0.7,73.79914566666666,LSTM-PPO-COST,Pareto,Exponential
0.7,73.58055833333333,LSTM-PPO,,
0.7,73.58055833333333,LSTM-PPO-COST,Pareto,Exponential
0.7,73.99155933333333,LSTM-PPO,,
0.7,73.99155933333333,LSTM-PPO-COST,Pareto,Exponential
0.7,73.267695,LSTM-PPO,,
0.7,73.267695,LSTM-PPO-COST,Pareto,Exponential
0.1,33.33939371219221,LSTM-PPO,,
0.1,33.33939371219221,LSTM-PPO,Exponential,Exponential
0.1,35.082209878865875,LSTM-PPO,,
0.1,35.082209878865875,LSTM-PPO,Exponential,Exponential
0.1,30.1685798006294,LSTM-PPO,,
0.1,30.1685798006294,LSTM-PPO,Exponential,Exponential
0.1,34.63279510268144,LSTM-PPO,,
0.1,34.63279510268144,LSTM-PPO,Exponential,Exponential
0.1,36.44170839377728,LSTM-PPO,,
0.1,36.44170839377728,LSTM-PPO,Exponential,Exponential
0.1,32.73609089755217,LSTM-PPO,,
0.1,32.73609089755217,LSTM-PPO,Exponential,Exponential
0.1,29.77174288803823,LSTM-PPO,,
0.1,29.77174288803823,LSTM-PPO,Exponential,Exponential
0.1,31.486140436654583,LSTM-PPO,,
0.1,31.486140436654583,LSTM-PPO,Exponential,Exponential
0.1,31.923051171688183,LSTM-PPO,,
0.1,31.923051171688183,LSTM-PPO,Exponential,Exponential
0.1,35.33058127736474,LSTM-PPO,,
0.1,35.33058127736474,LSTM-PPO,Exponential,Exponential
0.2,41.37824660895692,LSTM-PPO,,
0.2,41.37824660895692,LSTM-PPO,Exponential,Exponential
0.2,42.60610636325482,LSTM-PPO,,
0.2,42.60610636325482,LSTM-PPO,Exponential,Exponential
0.2,37.60864364270984,LSTM-PPO,,
0.2,37.60864364270984,LSTM-PPO,Exponential,Exponential
0.2,40.36075769151864,LSTM-PPO,,
0.2,40.36075769151864,LSTM-PPO,Exponential,Exponential
0.2,39.05836476590182,LSTM-PPO,,
0.2,39.05836476590182,LSTM-PPO,Exponential,Exponential
0.2,41.37824660895692,LSTM-PPO,,
0.2,41.37824660895692,LSTM-PPO,Exponential,Exponential
0.2,39.05836476590182,LSTM-PPO,,
0.2,39.05836476590182,LSTM-PPO,Exponential,Exponential
0.2,40.36075769151864,LSTM-PPO,,
0.2,40.36075769151864,LSTM-PPO,Exponential,Exponential
0.2,37.60864364270984,LSTM-PPO,,
0.2,37.60864364270984,LSTM-PPO,Exponential,Exponential
0.2,42.60610636325482,LSTM-PPO,,
0.2,42.60610636325482,LSTM-PPO,Exponential,Exponential
0.3,52.02360770331998,LSTM-PPO,,
0.3,52.02360770331998,LSTM-PPO,Exponential,Exponential
0.3,52.8559319935625,LSTM-PPO,,
0.3,52.8559319935625,LSTM-PPO,Exponential,Exponential
0.3,47.11610277669861,LSTM-PPO,,
0.3,47.11610277669861,LSTM-PPO,Exponential,Exponential
0.3,49.24604425659865,LSTM-PPO,,
0.3,49.24604425659865,LSTM-PPO,Exponential,Exponential
0.3,48.808248431242994,LSTM-PPO,,
0.3,48.808248431242994,LSTM-PPO,Exponential,Exponential
0.3,48.89503791087954,LSTM-PPO,,
0.3,48.89503791087954,LSTM-PPO,Exponential,Exponential
0.3,50.82253734270479,LSTM-PPO,,
0.3,50.82253734270479,LSTM-PPO,Exponential,Exponential
0.3,52.639133921411386,LSTM-PPO,,
0.3,52.639133921411386,LSTM-PPO,Exponential,Exponential
0.3,47.54079222830969,LSTM-PPO,,
0.3,47.54079222830969,LSTM-PPO,Exponential,Exponential
0.3,52.176391914891255,LSTM-PPO,,
0.3,52.176391914891255,LSTM-PPO,Exponential,Exponential
0.7,78.78923160818977,LSTM-PPO,,
0.7,78.78923160818977,LSTM-PPO,Exponential,Exponential
0.7,75.34114533450256,LSTM-PPO,,
0.7,75.34114533450256,LSTM-PPO,Exponential,Exponential
0.7,77.13589405394771,LSTM-PPO,,
0.7,77.13589405394771,LSTM-PPO,Exponential,Exponential
0.7,75.79060606663076,LSTM-PPO,,
0.7,75.79060606663076,LSTM-PPO,Exponential,Exponential
0.7,72.69785607330891,LSTM-PPO,,
0.7,72.69785607330891,LSTM-PPO,Exponential,Exponential
0.7,75.26034139920462,LSTM-PPO,,
0.7,75.26034139920462,LSTM-PPO,Exponential,Exponential
0.7,75.8093028801205,LSTM-PPO,,
0.7,75.8093028801205,LSTM-PPO,Exponential,Exponential
0.7,77.03433076168457,LSTM-PPO,,
0.7,77.03433076168457,LSTM-PPO,Exponential,Exponential
0.7,74.66074597845878,LSTM-PPO,,
0.7,74.66074597845878,LSTM-PPO,Exponential,Exponential
0.7,74.11514672862819,LSTM-PPO,,
0.7,74.11514672862819,LSTM-PPO,Exponential,Exponential
0.1,20.13007332816182,LSTM-PPO,,
0.1,20.13007332816182,LSTM-PPO,Pareto,Exponential
0.1,24.12798718427012,LSTM-PPO,,
0.1,24.12798718427012,LSTM-PPO,Pareto,Exponential
0.1,18.413769620345796,LSTM-PPO,,
0.1,18.413769620345796,LSTM-PPO,Pareto,Exponential
0.1,19.04450419328813,LSTM-PPO,,
0.1,19.04450419328813,LSTM-PPO,Pareto,Exponential
0.1,17.998374478912105,LSTM-PPO,,
0.1,17.998374478912105,LSTM-PPO,Pareto,Exponential
0.1,19.405671769653345,LSTM-PPO,,
0.1,19.405671769653345,LSTM-PPO,Pareto,Exponential
0.1,19.82276152405999,LSTM-PPO,,
0.1,19.82276152405999,LSTM-PPO,Pareto,Exponential
0.1,18.71861759890503,LSTM-PPO,,
0.1,18.71861759890503,LSTM-PPO,Pareto,Exponential
0.1,21.3475265750678,LSTM-PPO,,
0.1,21.3475265750678,LSTM-PPO,Pareto,Exponential
0.1,19.921835535284977,LSTM-PPO,,
0.1,19.921835535284977,LSTM-PPO,Pareto,Exponential
0.2,41.37824660895692,LSTM-PPO,,
0.2,41.37824660895692,LSTM-PPO,Pareto,Exponential
0.2,42.60610636325482,LSTM-PPO,,
0.2,42.60610636325482,LSTM-PPO,Pareto,Exponential
0.2,37.60864364270984,LSTM-PPO,,
0.2,37.60864364270984,LSTM-PPO,Pareto,Exponential
0.2,40.36075769151864,LSTM-PPO,,
0.2,40.36075769151864,LSTM-PPO,Pareto,Exponential
0.2,39.05836476590182,LSTM-PPO,,
0.2,39.05836476590182,LSTM-PPO,Pareto,Exponential
0.2,38.229690945866594,LSTM-PPO,,
0.2,38.229690945866594,LSTM-PPO,Pareto,Exponential
0.2,41.18132071227245,LSTM-PPO,,
0.2,41.18132071227245,LSTM-PPO,Pareto,Exponential
0.2,40.676124614304335,LSTM-PPO,,
0.2,40.676124614304335,LSTM-PPO,Pareto,Exponential
0.2,41.50781065778443,LSTM-PPO,,
0.2,41.50781065778443,LSTM-PPO,Pareto,Exponential
0.2,38.55548427774087,LSTM-PPO,,
0.2,38.55548427774087,LSTM-PPO,Pareto,Exponential
0.3,54.02360770331998,LSTM-PPO,,
0.3,54.02360770331998,LSTM-PPO,Pareto,Exponential
0.3,54.8559319935625,LSTM-PPO,,
0.3,54.8559319935625,LSTM-PPO,Pareto,Exponential
0.3,47.11610277669861,LSTM-PPO,,
0.3,47.11610277669861,LSTM-PPO,Pareto,Exponential
0.3,49.24604425659865,LSTM-PPO,,
0.3,49.24604425659865,LSTM-PPO,Pareto,Exponential
0.3,48.808248431242994,LSTM-PPO,,
0.3,48.808248431242994,LSTM-PPO,Pareto,Exponential
0.3,48.89503791087954,LSTM-PPO,,
0.3,48.89503791087954,LSTM-PPO,Pareto,Exponential
0.3,50.82253734270479,LSTM-PPO,,
0.3,50.82253734270479,LSTM-PPO,Pareto,Exponential
0.3,51.822754088999154,LSTM-PPO,,
0.3,51.822754088999154,LSTM-PPO,Pareto,Exponential
0.3,51.82167201463637,LSTM-PPO,,
0.3,51.82167201463637,LSTM-PPO,Pareto,Exponential
0.3,53.788964731200345,LSTM-PPO,,
0.3,53.788964731200345,LSTM-PPO,Pareto,Exponential
0.7,69.87068497980682,LSTM-PPO,,
0.7,69.87068497980682,LSTM-PPO,Pareto,Exponential
0.7,70.82071599263655,LSTM-PPO,,
0.7,70.82071599263655,LSTM-PPO,Pareto,Exponential
0.7,70.09515243658694,LSTM-PPO,,
0.7,70.09515243658694,LSTM-PPO,Pareto,Exponential
0.7,68.26330845974645,LSTM-PPO,,
0.7,68.26330845974645,LSTM-PPO,Pareto,Exponential
