scenario,chain_length,graph,graph_time_avg_cost,graph_event_avg_cost,graph_reqs_total,external_arrivals,internal_arrivals,graph_prob_cold,graph_prob_reject,simulated_time,run_dir,stdout_log
fixed_external,1,A1,163.25552252056832,165.06280100173376,5133,5133,0,0.01188388856419248,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L01_arr10.0_20260427_092703,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L01.log
fixed_external,2,A1->A2,148.60619884705747,155.03413953935663,10263,5133,5130,0.011887362369677482,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L02_arr10.0_20260427_092705,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L02.log
fixed_external,3,A1->A2->A3,184.7759663405835,194.72846495857723,15382,5133,10249,0.013652320894552074,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L03_arr10.0_20260427_092708,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L03.log
fixed_external,4,A1->A2->A3->A4,240.27981612594465,256.4534330712425,20508,5133,15375,0.017554125219426564,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L04_arr10.0_20260427_092713,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L04.log
fixed_external,5,A1->A2->A3->A4->A5,255.95518923691125,274.4367353171346,25622,5133,20489,0.018655842635235346,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L05_arr10.0_20260427_092720,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L05.log
fixed_external,6,A1->A2->A3->A4->A5->A6,315.0003356411729,334.5417834132751,30753,5133,25620,0.023347315709036517,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L06_arr10.0_20260427_092731,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L06.log
fixed_external,7,A1->A2->A3->A4->A5->A6->A7,346.44289953148285,374.0339281601019,35885,5133,30752,0.024467047512888394,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L07_arr10.0_20260427_092746,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L07.log
fixed_external,8,A1->A2->A3->A4->A5->A6->A7->A8,342.82081928285703,362.55563322709446,41005,5133,35872,0.02538714790879161,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L08_arr10.0_20260427_092804,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L08.log
fixed_external,9,A1->A2->A3->A4->A5->A6->A7->A8->A9,380.81280879809583,400.5051591841876,46137,5133,41004,0.027851832585560395,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L09_arr10.0_20260427_092827,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L09.log
fixed_external,10,A1->A2->A3->A4->A5->A6->A7->A8->A9->A10,387.26809147445226,408.87292034729376,51230,5133,46097,0.028401327347257466,0.0,500,/opt/Projects/Soft2/NSGD/logs/sanitycheck_fixed_external_L10_arr10.0_20260427_092856,/opt/Projects/Soft2/NSGD/results_figures/run_logs/fixed_external_L10.log
