method,arrival,100,200,300,400,500
LSTM-PPO,0.1,33.0,60.0,87.0,114.0,141.0
LSTM-PPO,0.2,40.0,69.0,98.0,128.4,157.4
LSTM-PPO,0.3,50.3,87.6,123.2,159.6,196.4
LSTM-PPO,0.7,75.8,121.2,166.5,211.6,257.6
LSTM-PPO(COST),0.1,20.0,27.5,36.0,43.0,52.0
LSTM-PPO(COST),0.2,34.6,50.7,68.7,83.24,100.3
LSTM-PPO(COST),0.3,53.0,90.0,130.5,166.0,205.0
LSTM-PPO(COST),0.7,80.0,125.0,174.0,215.0,263.0
Our Algorithm,0.1,17.8,18.4,20.3,21.6,22.0
Our Algorithm,0.2,26.4,29.0,32.0,36.0,36.6
Our Algorithm,0.3,34.2,36.9,39.5,41.0,45.0
Our Algorithm,0.7,66.4,78.0,92.0,109.0,119.0
